Step,Value,S_High,S_Low,Prob_Normal,Prob_Anomaly,Alarm
47,21.571,0.0000,0.0000,1.0000,0.0000,0
48,21.571,0.0000,0.0000,1.0000,0.0000,0
49,21.595,0.0000,0.0000,1.0000,0.0000,0
50,21.595,0.0000,0.0000,1.0000,0.0000,0
51,21.595,0.0000,0.0000,1.0000,0.0000,0
52,21.595,0.0000,0.0000,1.0000,0.0000,0
53,21.595,0.0000,0.0000,1.0000,0.0000,0
54,21.595,0.0000,0.0000,1.0000,0.0000,0
55,21.595,0.0000,0.0000,1.0000,0.0000,0
56,21.595,0.0000,0.0000,1.0000,0.0000,0
57,21.595,0.0000,0.0000,1.0000,0.0000,0
58,21.595,0.0000,0.0000,1.0000,0.0000,0
59,21.595,0.0000,0.0000,1.0000,0.0000,0
60,21.595,0.0000,0.0000,1.0000,0.0000,0
61,21.595,0.0000,0.0000,1.0000,0.0000,0
62,21.664,0.0000,0.0000,1.0000,0.0000,0
63,21.664,0.0000,0.0000,1.0000,0.0000,0
64,21.664,0.0000,0.0000,1.0000,0.0000,0
65,21.664,0.0000,0.0000,1.0000,0.0000,0
66,21.664,0.0000,0.0000,1.0000,0.0000,0
67,21.664,0.0000,0.0000,1.0000,0.0000,0
68,21.664,0.0000,0.0000,1.0000,0.0000,0
69,21.664,0.0000,0.0000,1.0000,0.0000,0
70,21.664,0.0000,0.0000,1.0000,0.0000,0
71,21.664,0.0000,0.0000,1.0000,0.0000,0
72,21.664,0.0000,0.0000,1.0000,0.0000,0
73,21.664,0.0000,0.0000,1.0000,0.0000,0
74,21.664,0.0000,0.0000,1.0000,0.0000,0
75,21.664,0.0000,0.0000,1.0000,0.0000,0
76,21.804,0.0000,0.0000,1.0000,0.0000,0
77,21.804,0.0000,0.0000,1.0000,0.0000,0
78,21.804,0.0000,0.0000,1.0000,0.0000,0
79,21.804,0.0000,0.0000,1.0000,0.0000,0
80,21.804,0.0000,0.0000,1.0000,0.0000,0
81,21.804,0.0000,0.0000,1.0000,0.0000,0
82,21.804,0.0000,0.0000,1.0000,0.0000,0
83,21.804,0.0000,0.0000,1.0000,0.0000,0
84,21.804,0.0000,0.0000,1.0000,0.0000,0
85,21.804,0.0000,0.0000,1.0000,0.0000,0
86,21.804,0.0000,0.0000,1.0000,0.0000,0
87,21.804,0.0000,0.0000,1.0000,0.0000,0
88,21.804,0.0000,0.0000,1.0000,0.0000,0
89,21.804,0.0000,0.0000,1.0000,0.0000,0
90,21.688,0.0000,0.0000,1.0000,0.0000,0
91,21.688,0.0000,0.0000,1.0000,0.0000,0
92,21.688,0.0000,0.0000,1.0000,0.0000,0
93,21.688,0.0000,0.0000,1.0000,0.0000,0
94,21.688,0.0000,0.0000,1.0000,0.0000,0
95,21.688,0.0000,0.0000,1.0000,0.0000,0
96,21.688,0.0000,0.0000,1.0000,0.0000,0
97,21.688,0.0000,0.0000,1.0000,0.0000,0
98,21.688,0.0000,0.0000,1.0000,0.0000,0
99,21.688,0.0000,0.0000,1.0000,0.0000,0
100,21.688,0.0000,0.0000,1.0000,0.0000,0
101,21.688,0.0000,0.0000,1.0000,0.0000,0
102,21.688,0.0000,0.0000,1.0000,0.0000,0
103,21.688,0.0000,0.0000,1.0000,0.0000,0
104,21.664,0.0000,0.0000,1.0000,0.0000,0
105,21.664,0.0000,0.0000,1.0000,0.0000,0
106,21.664,0.0000,0.0000,1.0000,0.0000,0
107,21.664,0.0000,0.0000,1.0000,0.0000,0
108,21.664,0.0000,0.0000,1.0000,0.0000,0
109,21.664,0.0000,0.0000,1.0000,0.0000,0
110,21.664,0.0000,0.0000,1.0000,0.0000,0
111,21.664,0.0000,0.0000,1.0000,0.0000,0
112,21.664,0.0000,0.0000,1.0000,0.0000,0
113,21.664,0.0000,0.0000,1.0000,0.0000,0
114,21.664,0.0000,0.0000,1.0000,0.0000,0
115,21.664,0.0000,0.0000,1.0000,0.0000,0
116,21.664,0.0000,0.0000,1.0000,0.0000,0
117,21.664,0.0000,0.0000,1.0000,0.0000,0
118,21.664,0.0000,0.0000,1.0000,0.0000,0
119,21.664,0.0000,0.0000,1.0000,0.0000,0
120,21.664,0.0000,0.0000,1.0000,0.0000,0
121,21.664,0.0000,0.0000,1.0000,0.0000,0
122,21.664,0.0000,0.0000,1.0000,0.0000,0
123,21.664,0.0000,0.0000,1.0000,0.0000,0
124,21.664,0.0000,0.0000,1.0000,0.0000,0
125,21.664,0.0000,0.0000,1.0000,0.0000,0
126,21.664,0.0000,0.0000,1.0000,0.0000,0
127,21.664,0.0000,0.0000,1.0000,0.0000,0
128,21.664,0.0000,0.0000,1.0000,0.0000,0
129,21.664,0.0000,0.0000,1.0000,0.0000,0
130,21.664,0.0000,0.0000,1.0000,0.0000,0
131,21.664,0.0000,0.0000,1.0000,0.0000,0
132,21.664,0.0000,0.0000,1.0000,0.0000,0
133,21.664,0.0000,0.0000,1.0000,0.0000,0
134,21.664,0.0000,0.0000,1.0000,0.0000,0
135,21.664,0.0000,0.0000,1.0000,0.0000,0
136,21.664,0.0000,0.0000,1.0000,0.0000,0
137,21.664,0.0000,0.0000,1.0000,0.0000,0
138,21.664,0.0000,0.0000,1.0000,0.0000,0
139,21.664,0.0000,0.0000,1.0000,0.0000,0
140,21.664,0.0000,0.0000,1.0000,0.0000,0
141,21.664,0.0000,0.0000,1.0000,0.0000,0
142,21.664,0.0000,0.0000,1.0000,0.0000,0
143,21.664,0.0000,0.0000,1.0000,0.0000,0
144,21.664,0.0000,0.0000,1.0000,0.0000,0
145,21.664,0.0000,0.0000,1.0000,0.0000,0
146,21.664,0.0000,0.0000,1.0000,0.0000,0
147,21.664,0.0000,0.0000,1.0000,0.0000,0
148,21.664,0.0000,0.0000,1.0000,0.0000,0
149,21.664,0.0000,0.0000,1.0000,0.0000,0
150,21.664,0.0000,0.0000,1.0000,0.0000,0
151,21.781,0.0000,0.0000,1.0000,0.0000,0
152,21.781,0.0000,0.0000,1.0000,0.0000,0
153,21.781,0.0000,0.0000,1.0000,0.0000,0
154,21.781,0.0000,0.0000,1.0000,0.0000,0
155,21.781,0.0000,0.0000,1.0000,0.0000,0
156,21.781,0.0000,0.0000,1.0000,0.0000,0
157,21.781,0.0000,0.0000,1.0000,0.0000,0
158,21.781,0.0000,0.0000,1.0000,0.0000,0
159,21.781,0.0000,0.0000,1.0000,0.0000,0
160,21.781,0.0000,0.0000,1.0000,0.0000,0
161,21.781,0.0000,0.0000,1.0000,0.0000,0
162,21.781,0.0000,0.0000,1.0000,0.0000,0
163,21.781,0.0000,0.0000,1.0000,0.0000,0
164,21.781,0.0000,0.0000,1.0000,0.0000,0
165,21.874,0.0000,0.0000,1.0000,0.0000,0
166,21.874,0.0000,0.0000,1.0000,0.0000,0
167,21.874,0.0000,0.0000,1.0000,0.0000,0
168,21.874,0.0000,0.0000,1.0000,0.0000,0
169,21.874,0.0000,0.0000,1.0000,0.0000,0
170,21.874,0.0000,0.0000,1.0000,0.0000,0
171,21.874,0.0000,0.0000,1.0000,0.0000,0
172,21.874,0.0000,0.0000,1.0000,0.0000,0
173,21.874,0.0000,0.0000,1.0000,0.0000,0
174,21.874,0.0000,0.0000,1.0000,0.0000,0
175,21.874,0.0000,0.0000,1.0000,0.0000,0
176,21.874,0.0000,0.0000,1.0000,0.0000,0
177,21.874,0.0000,0.0000,1.0000,0.0000,0
178,21.874,0.0000,0.0000,1.0000,0.0000,0
179,21.827,0.0000,0.0000,1.0000,0.0000,0
180,21.827,0.0000,0.0000,1.0000,0.0000,0
181,21.827,0.0000,0.0000,1.0000,0.0000,0
182,21.827,0.0000,0.0000,1.0000,0.0000,0
183,21.827,0.0000,0.0000,1.0000,0.0000,0
184,21.827,0.0000,0.0000,1.0000,0.0000,0
185,21.827,0.0000,0.0000,1.0000,0.0000,0
186,21.827,0.0000,0.0000,1.0000,0.0000,0
187,21.827,0.0000,0.0000,1.0000,0.0000,0
188,21.827,0.0000,0.0000,1.0000,0.0000,0
189,21.827,0.0000,0.0000,1.0000,0.0000,0
190,21.827,0.0000,0.0000,1.0000,0.0000,0
191,21.827,0.0000,0.0000,1.0000,0.0000,0
192,21.827,0.0000,0.0000,1.0000,0.0000,0
193,21.874,0.0000,0.0000,1.0000,0.0000,0
194,21.874,0.0000,0.0000,1.0000,0.0000,0
195,21.874,0.0000,0.0000,1.0000,0.0000,0
196,21.874,0.0000,0.0000,1.0000,0.0000,0
197,21.874,0.0000,0.0000,1.0000,0.0000,0
198,21.874,0.0000,0.0000,1.0000,0.0000,0
199,21.874,0.0000,0.0000,1.0000,0.0000,0
200,21.874,0.0000,0.0000,1.0000,0.0000,0
201,21.874,0.0000,0.0000,1.0000,0.0000,0
202,21.874,0.0000,0.0000,1.0000,0.0000,0
203,21.874,0.0000,0.0000,1.0000,0.0000,0
204,21.874,0.0000,0.0000,1.0000,0.0000,0
205,21.874,0.0000,0.0000,1.0000,0.0000,0
206,21.874,0.0000,0.0000,1.0000,0.0000,0
207,21.920,0.0000,0.0000,1.0000,0.0000,0
208,21.920,0.0000,0.0000,1.0000,0.0000,0
209,21.920,0.0000,0.0000,1.0000,0.0000,0
210,21.920,0.0000,0.0000,1.0000,0.0000,0
211,21.920,0.0000,0.0000,1.0000,0.0000,0
212,21.920,0.0000,0.0000,1.0000,0.0000,0
213,21.920,0.0000,0.0000,1.0000,0.0000,0
214,21.920,0.0000,0.0000,1.0000,0.0000,0
215,21.920,0.0000,0.0000,1.0000,0.0000,0
216,21.920,0.0000,0.0000,1.0000,0.0000,0
217,21.920,0.0000,0.0000,1.0000,0.0000,0
218,21.920,0.0000,0.0000,1.0000,0.0000,0
219,21.920,0.0000,0.0000,1.0000,0.0000,0
220,21.827,0.0000,0.0000,1.0000,0.0000,0
221,21.827,0.0000,0.0000,1.0000,0.0000,0
222,21.827,0.0000,0.0000,1.0000,0.0000,0
223,21.827,0.0000,0.0000,1.0000,0.0000,0
224,21.827,0.0000,0.0000,1.0000,0.0000,0
225,21.827,0.0000,0.0000,1.0000,0.0000,0
226,21.827,0.0000,0.0000,1.0000,0.0000,0
227,21.827,0.0000,0.0000,1.0000,0.0000,0
228,21.827,0.0000,0.0000,1.0000,0.0000,0
229,21.827,0.0000,0.0000,1.0000,0.0000,0
230,21.827,0.0000,0.0000,1.0000,0.0000,0
231,21.827,0.0000,0.0000,1.0000,0.0000,0
232,21.827,0.0000,0.0000,1.0000,0.0000,0
233,21.827,0.0000,0.0000,1.0000,0.0000,0
234,21.920,0.0000,0.0000,1.0000,0.0000,0
235,21.920,0.0000,0.0000,1.0000,0.0000,0
236,21.920,0.0000,0.0000,1.0000,0.0000,0
237,21.920,0.0000,0.0000,1.0000,0.0000,0
238,21.920,0.0000,0.0000,1.0000,0.0000,0
239,21.920,0.0000,0.0000,1.0000,0.0000,0
240,21.920,0.0000,0.0000,1.0000,0.0000,0
241,21.920,0.0000,0.0000,1.0000,0.0000,0
242,21.920,0.0000,0.0000,1.0000,0.0000,0
243,21.920,0.0000,0.0000,1.0000,0.0000,0
244,21.920,0.0000,0.0000,1.0000,0.0000,0
245,21.920,0.0000,0.0000,1.0000,0.0000,0
246,21.920,0.0000,0.0000,1.0000,0.0000,0
247,21.874,0.0000,0.0000,1.0000,0.0000,0
248,21.874,0.0000,0.0000,1.0000,0.0000,0
249,21.874,0.0000,0.0000,1.0000,0.0000,0
250,21.874,0.0000,0.0000,1.0000,0.0000,0
251,21.874,0.0000,0.0000,1.0000,0.0000,0
252,21.874,0.0000,0.0000,1.0000,0.0000,0
253,21.874,0.0000,0.0000,1.0000,0.0000,0
254,21.874,0.0000,0.0000,1.0000,0.0000,0
255,21.874,0.0000,0.0000,1.0000,0.0000,0
256,21.874,0.0000,0.0000,1.0000,0.0000,0
257,21.874,0.0000,0.0000,1.0000,0.0000,0
258,21.874,0.0000,0.0000,1.0000,0.0000,0
259,21.874,0.0000,0.0000,1.0000,0.0000,0
260,21.874,0.0000,0.0000,1.0000,0.0000,0
261,21.920,0.0000,0.0000,1.0000,0.0000,0
262,21.920,0.0000,0.0000,1.0000,0.0000,0
263,21.920,0.0000,0.0000,1.0000,0.0000,0
264,21.920,0.0000,0.0000,1.0000,0.0000,0
265,21.920,0.0000,0.0000,1.0000,0.0000,0
266,21.920,0.0000,0.0000,1.0000,0.0000,0
267,21.920,0.0000,0.0000,1.0000,0.0000,0
268,21.920,0.0000,0.0000,1.0000,0.0000,0
269,21.920,0.0000,0.0000,1.0000,0.0000,0
270,21.920,0.0000,0.0000,1.0000,0.0000,0
271,21.920,0.0000,0.0000,1.0000,0.0000,0
272,21.920,0.0000,0.0000,1.0000,0.0000,0
273,21.920,0.0000,0.0000,1.0000,0.0000,0
274,21.920,0.0000,0.0000,1.0000,0.0000,0
275,21.990,0.0000,0.0000,1.0000,0.0000,0
276,21.990,0.0000,0.0000,1.0000,0.0000,0
277,21.990,0.0000,0.0000,1.0000,0.0000,0
278,21.990,0.0000,0.0000,1.0000,0.0000,0
279,21.990,0.0000,0.0000,1.0000,0.0000,0
280,21.990,0.0000,0.0000,1.0000,0.0000,0
281,21.990,0.0000,0.0000,1.0000,0.0000,0
282,21.990,0.0000,0.0000,1.0000,0.0000,0
283,21.990,0.0000,0.0000,1.0000,0.0000,0
284,21.990,0.0000,0.0000,1.0000,0.0000,0
285,21.990,0.0000,0.0000,1.0000,0.0000,0
286,21.990,0.0000,0.0000,1.0000,0.0000,0
287,21.990,0.0000,0.0000,1.0000,0.0000,0
288,21.990,0.0000,0.0000,1.0000,0.0000,0
289,21.990,0.0000,0.0000,1.0000,0.0000,0
290,22.083,0.0000,0.0000,1.0000,0.0000,0
291,22.083,0.0000,0.0000,1.0000,0.0000,0
292,22.083,0.0000,0.0000,1.0000,0.0000,0
293,22.083,0.0000,0.0000,1.0000,0.0000,0
294,22.083,0.0000,0.0000,1.0000,0.0000,0
295,22.083,0.0000,0.0000,1.0000,0.0000,0
296,22.083,0.0000,0.0000,1.0000,0.0000,0
297,22.083,0.0000,0.0000,1.0000,0.0000,0
298,22.083,0.0000,0.0000,1.0000,0.0000,0
299,22.083,0.0000,0.0000,1.0000,0.0000,0
300,22.083,0.0000,0.0000,1.0000,0.0000,0
301,22.083,0.0000,0.0000,1.0000,0.0000,0
302,22.083,0.0000,0.0000,1.0000,0.0000,0
303,22.036,0.0000,0.0000,1.0000,0.0000,0
304,22.036,0.0000,0.0000,1.0000,0.0000,0
305,22.036,0.0000,0.0000,1.0000,0.0000,0
306,22.036,0.0000,0.0000,1.0000,0.0000,0
307,22.036,0.0000,0.0000,1.0000,0.0000,0
308,22.036,0.0000,0.0000,1.0000,0.0000,0
309,22.036,0.0000,0.0000,1.0000,0.0000,0
310,22.036,0.0000,0.0000,1.0000,0.0000,0
311,22.036,0.0000,0.0000,1.0000,0.0000,0
312,22.036,0.0000,0.0000,1.0000,0.0000,0
313,22.036,0.0000,0.0000,1.0000,0.0000,0
314,22.036,0.0000,0.0000,1.0000,0.0000,0
315,22.036,0.0000,0.0000,1.0000,0.0000,0
316,22.036,0.0000,0.0000,1.0000,0.0000,0
317,22.036,0.0000,0.0000,1.0000,0.0000,0
318,22.106,0.0000,0.0000,1.0000,0.0000,0
319,22.106,0.0000,0.0000,1.0000,0.0000,0
320,22.106,0.0000,0.0000,1.0000,0.0000,0
321,22.106,0.0000,0.0000,1.0000,0.0000,0
322,22.106,0.0000,0.0000,1.0000,0.0000,0
323,22.106,0.0000,0.0000,1.0000,0.0000,0
324,22.106,0.0000,0.0000,1.0000,0.0000,0
325,22.106,0.0000,0.0000,1.0000,0.0000,0
326,22.106,0.0000,0.0000,1.0000,0.0000,0
327,22.106,0.0000,0.0000,1.0000,0.0000,0
328,22.106,0.0000,0.0000,1.0000,0.0000,0
329,22.106,0.0000,0.0000,1.0000,0.0000,0
330,22.106,0.0000,0.0000,1.0000,0.0000,0
331,22.083,0.0000,0.0000,1.0000,0.0000,0
332,22.083,0.0000,0.0000,1.0000,0.0000,0
333,22.083,0.0000,0.0000,1.0000,0.0000,0
334,22.083,0.0000,0.0000,1.0000,0.0000,0
335,22.083,0.0000,0.0000,1.0000,0.0000,0
336,22.083,0.0000,0.0000,1.0000,0.0000,0
337,22.083,0.0000,0.0000,1.0000,0.0000,0
338,22.083,0.0000,0.0000,1.0000,0.0000,0
339,22.083,0.0000,0.0000,1.0000,0.0000,0
340,22.083,0.0000,0.0000,1.0000,0.0000,0
341,22.083,0.0000,0.0000,1.0000,0.0000,0
342,22.083,0.0000,0.0000,1.0000,0.0000,0
343,22.083,0.0000,0.0000,1.0000,0.0000,0
344,22.083,0.0000,0.0000,1.0000,0.0000,0
345,22.083,0.0000,0.0000,1.0000,0.0000,0
346,21.967,0.0000,0.0000,1.0000,0.0000,0
347,21.967,0.0000,0.0000,1.0000,0.0000,0
348,21.967,0.0000,0.0000,1.0000,0.0000,0
349,21.967,0.0000,0.0000,1.0000,0.0000,0
350,21.967,0.0000,0.0000,1.0000,0.0000,0
351,21.967,0.0000,0.0000,1.0000,0.0000,0
352,21.967,0.0000,0.0000,1.0000,0.0000,0
353,21.967,0.0000,0.0000,1.0000,0.0000,0
354,21.967,0.0000,0.0000,1.0000,0.0000,0
355,21.967,0.0000,0.0000,1.0000,0.0000,0
356,21.967,0.0000,0.0000,1.0000,0.0000,0
357,21.967,0.0000,0.0000,1.0000,0.0000,0
358,21.967,0.0000,0.0000,1.0000,0.0000,0
359,21.967,0.0000,0.0000,1.0000,0.0000,0
360,22.152,0.0000,0.0000,1.0000,0.0000,0
361,22.152,0.0000,0.0000,1.0000,0.0000,0
362,22.152,0.0000,0.0000,1.0000,0.0000,0
363,22.152,0.0000,0.0000,1.0000,0.0000,0
364,22.152,0.0000,0.0000,1.0000,0.0000,0
365,22.152,0.0000,0.0000,1.0000,0.0000,0
366,22.152,0.0000,0.0000,1.0000,0.0000,0
367,22.152,0.0000,0.0000,1.0000,0.0000,0
368,22.152,0.0000,0.0000,1.0000,0.0000,0
369,22.152,0.0000,0.0000,1.0000,0.0000,0
370,22.152,0.0000,0.0000,1.0000,0.0000,0
371,22.152,0.0000,0.0000,1.0000,0.0000,0
372,22.152,0.0000,0.0000,1.0000,0.0000,0
373,22.152,0.0000,0.0000,1.0000,0.0000,0
374,22.152,0.0000,0.0000,1.0000,0.0000,0
375,22.176,0.0000,0.0000,1.0000,0.0000,0
376,22.176,0.0000,0.0000,1.0000,0.0000,0
377,22.176,0.0000,0.0000,1.0000,0.0000,0
378,22.176,0.0000,0.0000,1.0000,0.0000,0
379,22.176,0.0000,0.0000,1.0000,0.0000,0
380,22.176,0.0000,0.0000,1.0000,0.0000,0
381,22.176,0.0000,0.0000,1.0000,0.0000,0
382,22.176,0.0000,0.0000,1.0000,0.0000,0
383,22.176,0.0000,0.0000,1.0000,0.0000,0
384,22.176,0.0000,0.0000,1.0000,0.0000,0
385,22.176,0.0000,0.0000,1.0000,0.0000,0
386,22.199,0.0000,0.0000,1.0000,0.0000,0
387,22.199,0.0000,0.0000,1.0000,0.0000,0
388,22.199,0.0000,0.0000,1.0000,0.0000,0
389,22.199,0.0000,0.0000,1.0000,0.0000,0
390,22.199,0.0000,0.0000,1.0000,0.0000,0
391,22.199,0.0000,0.0000,1.0000,0.0000,0
392,22.199,0.0000,0.0000,1.0000,0.0000,0
393,22.199,0.0000,0.0000,1.0000,0.0000,0
394,22.199,0.0000,0.0000,1.0000,0.0000,0
395,22.199,0.0000,0.0000,1.0000,0.0000,0
396,22.199,0.0000,0.0000,1.0000,0.0000,0
397,22.199,0.0000,0.0000,1.0000,0.0000,0
398,22.199,0.0000,0.0000,1.0000,0.0000,0
399,22.199,0.0000,0.0000,1.0000,0.0000,0
400,22.152,0.0000,0.0000,1.0000,0.0000,0
401,22.152,0.0000,0.0000,1.0000,0.0000,0
402,22.152,0.0000,0.0000,1.0000,0.0000,0
403,22.152,0.0000,0.0000,1.0000,0.0000,0
404,22.152,0.0000,0.0000,1.0000,0.0000,0
405,22.152,0.0000,0.0000,1.0000,0.0000,0
406,22.152,0.0000,0.0000,1.0000,0.0000,0
407,22.152,0.0000,0.0000,1.0000,0.0000,0
408,22.152,0.0000,0.0000,1.0000,0.0000,0
409,22.152,0.0000,0.0000,1.0000,0.0000,0
410,22.152,0.0000,0.0000,1.0000,0.0000,0
411,22.152,0.0000,0.0000,1.0000,0.0000,0
412,22.152,0.0000,0.0000,1.0000,0.0000,0
413,22.152,0.0000,0.0000,1.0000,0.0000,0
414,22.269,0.0000,0.0000,1.0000,0.0000,0
415,22.269,0.0000,0.0000,1.0000,0.0000,0
416,22.269,0.0000,0.0000,1.0000,0.0000,0
417,22.269,0.0000,0.0000,1.0000,0.0000,0
418,22.269,0.0000,0.0000,1.0000,0.0000,0
419,22.269,0.0000,0.0000,1.0000,0.0000,0
420,22.269,0.0000,0.0000,1.0000,0.0000,0
421,22.269,0.0000,0.0000,1.0000,0.0000,0
422,22.269,0.0000,0.0000,1.0000,0.0000,0
423,22.269,0.0000,0.0000,1.0000,0.0000,0
424,22.269,0.0000,0.0000,1.0000,0.0000,0
425,22.269,0.0000,0.0000,1.0000,0.0000,0
426,22.269,0.0000,0.0000,1.0000,0.0000,0
427,22.269,0.0000,0.0000,1.0000,0.0000,0
428,22.199,0.0000,0.0000,1.0000,0.0000,0
429,22.199,0.0000,0.0000,1.0000,0.0000,0
430,22.199,0.0000,0.0000,1.0000,0.0000,0
431,22.199,0.0000,0.0000,1.0000,0.0000,0
432,22.199,0.0000,0.0000,1.0000,0.0000,0
433,22.199,0.0000,0.0000,1.0000,0.0000,0
434,22.199,0.0000,0.0000,1.0000,0.0000,0
435,22.199,0.0000,0.0000,1.0000,0.0000,0
436,22.199,0.0000,0.0000,1.0000,0.0000,0
437,22.199,0.0000,0.0000,1.0000,0.0000,0
438,22.199,0.0000,0.0000,1.0000,0.0000,0
439,22.199,0.0000,0.0000,1.0000,0.0000,0
440,22.199,0.0000,0.0000,1.0000,0.0000,0
441,22.199,0.0000,0.0000,1.0000,0.0000,0
442,22.292,0.0000,0.0000,1.0000,0.0000,0
443,22.292,0.0000,0.0000,1.0000,0.0000,0
444,22.292,0.0000,0.0000,1.0000,0.0000,0
445,22.292,0.0000,0.0000,1.0000,0.0000,0
446,22.292,0.0000,0.0000,1.0000,0.0000,0
447,22.292,0.0000,0.0000,1.0000,0.0000,0
448,22.292,0.0000,0.0000,1.0000,0.0000,0
449,22.292,0.0000,0.0000,1.0000,0.0000,0
450,22.292,0.0000,0.0000,1.0000,0.0000,0
451,22.292,0.0000,0.0000,1.0000,0.0000,0
452,22.292,0.0000,0.0000,1.0000,0.0000,0
453,22.292,0.0000,0.0000,1.0000,0.0000,0
454,22.292,0.0000,0.0000,1.0000,0.0000,0
455,22.292,0.0000,0.0000,1.0000,0.0000,0
456,22.292,0.0000,0.0000,1.0000,0.0000,0
457,22.292,0.0000,0.0000,1.0000,0.0000,0
458,22.292,0.0000,0.0000,1.0000,0.0000,0
459,22.292,0.0000,0.0000,1.0000,0.0000,0
460,22.292,0.0000,0.0000,1.0000,0.0000,0
461,22.292,0.0000,0.0000,1.0000,0.0000,0
462,22.292,0.0000,0.0000,1.0000,0.0000,0
463,22.292,0.0000,0.0000,1.0000,0.0000,0
464,22.292,0.0000,0.0000,1.0000,0.0000,0
465,22.292,0.0000,0.0000,1.0000,0.0000,0
466,22.292,0.0000,0.0000,1.0000,0.0000,0
467,22.292,0.0000,0.0000,1.0000,0.0000,0
468,22.292,0.0000,0.0000,1.0000,0.0000,0
469,22.292,0.0000,0.0000,1.0000,0.0000,0
470,22.292,0.0000,0.0000,1.0000,0.0000,0
471,22.269,0.0000,0.0000,1.0000,0.0000,0
472,22.269,0.0000,0.0000,1.0000,0.0000,0
473,22.269,0.0000,0.0000,1.0000,0.0000,0
474,22.269,0.0000,0.0000,1.0000,0.0000,0
475,22.269,0.0000,0.0000,1.0000,0.0000,0
476,22.269,0.0000,0.0000,1.0000,0.0000,0
477,22.269,0.0000,0.0000,1.0000,0.0000,0
478,22.269,0.0000,0.0000,1.0000,0.0000,0
479,22.269,0.0000,0.0000,1.0000,0.0000,0
480,22.269,0.0000,0.0000,1.0000,0.0000,0
481,22.269,0.0000,0.0000,1.0000,0.0000,0
482,22.269,0.0000,0.0000,1.0000,0.0000,0
483,22.269,0.0000,0.0000,1.0000,0.0000,0
484,22.269,0.0000,0.0000,1.0000,0.0000,0
485,22.315,0.0000,0.0000,1.0000,0.0000,0
486,22.315,0.0000,0.0000,1.0000,0.0000,0
487,22.315,0.0000,0.0000,1.0000,0.0000,0
488,22.315,0.0000,0.0000,1.0000,0.0000,0
489,22.315,0.0000,0.0000,1.0000,0.0000,0
490,22.315,0.0000,0.0000,1.0000,0.0000,0
491,22.315,0.0000,0.0000,1.0000,0.0000,0
492,22.315,0.0000,0.0000,1.0000,0.0000,0
493,22.315,0.0000,0.0000,1.0000,0.0000,0
494,22.315,0.0000,0.0000,1.0000,0.0000,0
495,22.315,0.0000,0.0000,1.0000,0.0000,0
496,22.315,0.0000,0.0000,1.0000,0.0000,0
