,TimeStamp,30-Т масла откачки,31-Т слива масла из турбины,32-Т масла вх ГТД,33-Т ТГ до СК,34-Р масла нагнетания,35-Р масла откачки,36-Р за ОК 1,37-Р за ОК 2,38-Р ТГ перед ДГ,39-Вибрация ГГ,40-Вибрация СТ,41-% ДГ,42-Контроль ДГ,43-N РНД (Расч),44-N РВД (Расч),45-N РСТ (Расч),46 Т-возд вх ГГ (Расч),47-P возд за ГГ (расч),48-N РНД прив,49-N РВД прив,50-Т за ТНД макс,51-% НА КВД,52-% КПВ
14,285,17.587,23.674,32.756,22.353,266.652,126.774,168.815,173.687,2994.049,1.884,0.852,12.421,12.464,3511.46,8891.95,1251.162,-11.471,171.83,3682.385,9328.005,400.984,7.656,4.836
15,305,17.587,23.688,32.756,22.353,266.652,126.774,168.815,172.142,3000.809,1.891,0.848,12.418,12.464,3509.171,8892.22,1251.162,-11.473,171.251,3683.83,9328.438,400.944,7.656,4.836
16,324,17.629,23.691,32.812,22.353,266.578,127.255,170.205,170.21,3004.189,1.891,0.848,12.421,12.449,3510.221,8892.373,1251.167,-11.473,170.478,3681.439,9328.746,400.925,7.595,4.858
17,344,17.629,23.693,32.812,22.353,266.578,127.255,170.282,170.21,3010.451,1.891,0.848,12.421,12.443,3511.963,8892.395,1251.172,-11.474,170.208,3682.545,9328.92,400.915,7.45,4.783
18,364,17.629,23.709,32.812,22.353,266.578,127.255,170.282,169.901,3016.486,1.893,0.848,12.421,12.443,3511.963,8892.494,1251.172,-11.474,170.246,3684.376,9328.95,400.91,7.45,4.783
19,385,17.629,23.709,32.812,22.353,266.578,127.255,170.282,169.901,3016.486,1.893,0.848,12.421,12.443,3511.963,8892.494,1251.172,-11.474,170.246,3684.376,9328.95,400.91,7.45,4.783
20,407,17.629,23.725,32.812,22.353,266.578,127.255,166.883,169.592,3019.504,1.895,0.845,12.418,12.409,3513.876,8893.445,1251.198,-11.474,170.092,3684.378,9329.058,400.907,7.533,4.758
21,424,17.629,23.733,32.812,22.353,266.578,127.255,171.519,169.592,3023.175,1.895,0.845,12.418,12.396,3514.272,8893.936,1251.209,-11.474,168.238,3686.385,9330.057,400.906,7.625,4.758
22,445,17.65,23.745,32.839,22.353,266.522,127.31,171.519,170.21,3029.089,1.895,0.848,12.421,12.396,3514.705,8894.2,1251.248,-11.474,170.555,3686.801,9330.572,400.905,7.625,4.708
23,464,17.65,23.755,32.839,22.353,266.522,127.31,171.441,169.129,3032.046,1.893,0.843,12.421,12.366,3516.521,8894.806,1251.287,-11.474,170.865,3687.255,9330.85,400.905,7.595,4.736
24,488,17.65,23.759,32.839,22.353,266.522,127.31,171.132,169.129,3035.378,1.893,0.843,12.418,12.353,3517.014,8894.887,1251.302,-11.474,170.285,3689.16,9331.484,400.88,7.567,4.708
25,505,17.65,23.773,32.839,22.353,266.522,127.31,171.132,173.765,3040.504,1.893,0.845,12.421,12.353,3514.258,8896.046,1251.35,-11.474,170.131,3689.678,9331.571,400.867,7.567,4.708
26,527,17.66,23.788,32.853,22.353,266.495,127.551,170.051,170.597,3043.067,1.893,0.843,12.421,12.316,3515.718,8896.45,1251.387,-11.462,172.448,3686.786,9332.787,400.861,7.625,4.711
27,547,17.66,23.796,32.853,22.353,266.495,127.551,170.128,170.597,3045.584,1.9,0.843,12.421,12.325,3516.326,8896.773,1251.472,-11.457,170.324,3688.236,9333.003,400.866,7.508,4.736
28,567,17.66,23.807,32.853,22.353,266.495,127.551,170.128,170.597,3047.955,1.9,0.843,12.421,12.325,3516.326,8896.773,1251.472,-11.454,170.362,3688.832,9333.238,400.869,7.508,4.736
29,585,17.66,23.813,32.853,22.353,266.495,127.551,169.587,173.919,3049.141,1.907,0.845,12.418,12.316,3517.619,8898.338,1251.548,-11.452,170.362,3688.812,9333.188,400.87,7.62,4.733
30,604,17.66,23.815,32.853,22.353,266.495,127.551,171.21,173.919,3050.784,1.907,0.845,12.418,12.301,3517.814,8898.621,1251.622,-11.452,171.753,3690.158,9334.802,400.871,7.567,4.683
31,624,17.701,23.821,32.86,22.353,266.425,128.422,171.21,171.601,3049.257,1.912,0.845,12.421,12.301,3519.391,8899.215,1251.677,-11.451,172.564,3690.358,9335.087,400.871,7.567,4.683
32,644,17.701,23.831,32.86,22.353,266.425,128.422,168.969,171.447,3048.494,1.914,0.845,12.421,12.273,3520.987,8899.895,1251.738,-11.451,171.405,3692.01,9335.703,400.871,7.681,4.683
33,664,17.701,23.836,32.86,22.353,266.425,128.422,171.905,171.447,3052.376,1.914,0.845,12.421,12.282,3518.744,8899.976,1251.802,-11.451,170.208,3693.683,9336.413,400.871,7.681,4.683
34,684,17.701,23.836,32.86,22.353,266.425,128.422,171.905,171.447,3052.376,1.914,0.845,12.421,12.282,3518.744,8899.976,1251.802,-11.451,170.208,3693.683,9336.413,400.871,7.681,4.683
35,704,17.701,23.839,32.86,22.353,266.425,128.422,171.905,171.447,3054.317,1.914,0.845,12.421,12.282,3520.262,8900.893,1251.863,-11.451,171.676,3691.329,9336.496,400.922,7.681,4.683
36,725,17.701,23.852,32.86,22.353,266.425,128.422,171.905,173.842,3052.754,1.912,0.843,12.421,12.282,3520.262,8900.893,1251.863,-11.451,171.676,3692.922,9337.458,400.947,7.681,4.761
37,747,17.721,23.862,32.911,22.353,266.4,129.405,171.519,173.224,3051.478,1.907,0.841,12.421,12.285,3519.612,8901.319,1251.931,-11.451,172.873,3692.922,9337.457,401.026,7.533,4.627
38,765,17.721,23.867,32.911,22.353,266.4,129.405,171.519,173.224,3050.84,1.907,0.841,12.421,12.285,3521.189,8902.817,1252.068,-11.451,172.371,3692.239,9337.904,401.149,7.533,4.627
39,788,17.721,23.878,32.911,22.353,266.4,129.405,170.128,172.837,3050.459,1.905,0.843,12.418,12.319,3521.189,8902.817,1252.068,-11.451,172.371,3693.894,9339.476,401.21,7.503,4.736
40,805,17.721,23.883,32.911,22.353,266.4,129.405,170.128,172.837,3050.269,1.905,0.843,12.418,12.319,3522.366,8903.816,1252.211,-11.451,171.483,3693.894,9339.476,401.241,7.503,4.736
41,824,17.721,23.893,32.911,22.353,266.4,129.405,171.21,172.837,3048.506,1.905,0.841,12.421,12.319,3522.366,8903.816,1252.211,-11.451,171.483,3695.128,9340.524,401.256,7.539,4.736
42,845,17.731,23.894,32.937,22.353,266.433,129.85,171.21,170.056,3043.855,1.9,0.845,12.421,12.325,3525.739,8905.181,1252.356,-11.451,172.023,3695.128,9340.524,401.264,7.539,4.733
43,865,17.731,23.895,32.937,22.353,266.433,129.85,172.678,172.219,3041.53,1.902,0.845,12.421,12.329,3523.313,8905.964,1252.43,-11.451,170.633,3698.667,9341.955,401.268,7.647,4.733
44,884,17.731,23.903,32.937,22.353,266.433,129.85,170.437,172.219,3042.035,1.902,0.843,12.418,12.329,3524.916,8905.991,1252.498,-11.451,172.448,3696.122,9342.776,401.386,7.55,4.733
45,904,17.731,23.911,32.937,22.353,266.433,129.85,170.437,172.915,3040.558,1.905,0.843,12.421,12.335,3524.569,8906.383,1252.571,-11.451,171.328,3697.803,9342.806,401.446,7.55,4.683
46,924,17.736,23.915,32.949,22.353,266.506,129.571,170.051,170.288,3039.819,1.905,0.843,12.421,12.329,3524.808,8906.869,1252.639,-11.451,171.676,3697.439,9343.216,401.476,7.606,4.733
47,944,17.736,23.915,32.949,22.353,266.506,129.571,170.051,170.288,3039.819,1.905,0.843,12.421,12.329,3524.808,8906.869,1252.639,-11.451,171.676,3697.439,9343.216,401.476,7.606,4.733
48,965,17.736,23.921,32.949,22.353,266.506,129.571,169.973,170.288,3036.979,1.905,0.841,12.421,12.329,3525.204,8907.018,1252.709,-11.451,170.169,3697.69,9343.727,401.49,7.62,4.733
49,986,17.736,23.92,32.949,22.353,266.506,129.571,169.973,170.829,3034.569,1.905,0.841,12.421,12.319,3526.286,8907.929,1252.774,-11.451,170.131,3698.105,9343.882,401.498,7.62,4.764
50,1007,17.736,23.919,32.949,22.353,266.506,129.571,171.055,169.592,3033.365,1.895,0.841,12.421,12.335,3527.313,8908.423,1252.833,-11.451,170.401,3699.241,9344.838,401.502,7.597,4.889
51,1027,17.736,23.915,32.949,22.353,266.506,129.571,167.501,169.592,3032.824,1.895,0.841,12.415,12.335,3528.796,8908.618,1252.929,-11.451,170.324,3700.318,9345.356,401.503,7.639,4.889
52,1044,17.774,23.913,33.015,22.353,266.542,128.932,167.501,171.601,3028.723,1.895,0.841,12.418,12.325,3530.2,8909.18,1253.012,-11.451,168.547,3701.874,9345.562,401.504,7.639,4.761
53,1065,17.774,23.912,33.015,22.353,266.542,128.932,171.287,169.901,3026.673,1.891,0.841,12.418,12.329,3527.354,8910.126,1253.043,-11.451,169.551,3703.347,9346.15,401.505,7.533,4.708
54,1087,17.774,23.915,33.015,22.353,266.542,128.932,170.901,169.901,3023.917,1.891,0.838,12.421,12.329,3529.58,8910.451,1253.124,-11.451,170.594,3700.361,9347.143,401.622,7.653,4.708
55,1104,17.774,23.925,33.015,22.353,266.542,128.932,170.901,168.588,3020.13,1.888,0.841,12.421,12.338,3528.814,8910.6,1253.18,-11.451,170.401,3702.697,9347.484,401.68,7.653,4.6
56,1126,17.793,23.93,33.048,22.353,266.514,128.658,170.746,171.369,3018.236,1.888,0.841,12.421,12.322,3530.551,8910.735,1253.237,-11.451,169.744,3701.892,9347.64,401.71,7.678,4.73
57,1146,17.793,23.94,33.048,22.353,266.514,128.658,170.051,171.369,3014.2,1.888,0.841,12.421,12.322,3528.388,8911.281,1253.294,-11.451,171.058,3703.714,9347.782,401.858,7.711,4.73
58,1166,17.793,23.952,33.048,22.353,266.514,128.658,170.051,170.674,3011.008,1.893,0.838,12.421,12.31,3528.388,8911.281,1253.294,-11.451,170.71,3701.446,9348.354,401.932,7.711,4.889
59,1186,17.793,23.959,33.048,22.353,266.514,128.658,171.905,169.747,3009.412,1.898,0.838,12.421,12.322,3530.901,8912.453,1253.449,-11.451,170.362,3701.446,9348.354,401.969,7.686,4.889
60,1206,17.793,23.966,33.048,22.353,266.514,128.658,171.75,169.747,3001.941,1.898,0.836,12.418,12.322,3531.396,8912.892,1253.498,-11.451,170.826,3704.082,9349.584,401.987,7.503,4.889
61,1225,17.802,23.973,33.123,22.353,266.555,129.263,171.75,173.61,2999.936,1.902,0.836,12.418,12.295,3530.669,8913.21,1253.55,-11.451,170.749,3704.602,9350.044,401.997,7.503,4.78
62,1245,17.802,23.977,33.123,22.353,266.555,129.263,171.75,173.61,2998.933,1.902,0.836,12.418,12.295,3532.121,8913.278,1253.599,-11.451,172.68,3703.839,9350.378,402.001,7.503,4.78
63,1265,17.802,23.979,33.123,22.353,266.555,129.263,170.514,170.906,2998.432,1.905,0.836,12.418,12.267,3532.121,8913.278,1253.599,-11.451,172.68,3705.362,9350.45,402.004,7.62,4.814
64,1285,17.802,23.987,33.123,22.353,266.555,129.263,167.81,170.906,2995.462,1.905,0.831,12.421,12.267,3531.373,8913.684,1253.641,-11.451,170.71,3705.362,9350.45,402.005,7.522,4.814
65,1306,17.802,23.999,33.123,22.353,266.555,129.263,167.81,171.601,2992.124,1.902,0.833,12.396,12.267,3531.384,8914.212,1253.687,-11.451,169.358,3704.577,9350.875,402.105,7.522,4.814
66,1326,17.842,24.005,33.161,22.353,266.594,129.454,170.051,170.52,2990.455,1.902,0.833,12.396,12.276,3531.364,8914.496,1253.728,-11.451,169.706,3704.588,9351.43,402.156,7.514,4.683
67,1346,17.842,24.02,33.161,22.353,266.594,129.454,169.742,170.52,2986.963,1.902,0.831,12.4,12.276,3534.574,8914.542,1253.782,-11.451,170.285,3704.568,9351.728,402.289,7.567,4.683
68,1366,17.842,24.031,33.161,22.353,266.594,129.454,169.742,170.983,2985.032,1.9,0.831,12.396,12.254,3535.216,8914.713,1253.841,-11.451,170.131,3707.935,9351.775,402.49,7.567,4.714
69,1386,17.842,24.037,33.161,22.353,266.594,129.454,165.029,167.197,2984.067,1.893,0.831,12.396,12.261,3533.848,8914.834,1253.879,-11.451,170.362,3708.608,9351.955,402.59,7.592,4.758
70,1405,17.842,24.036,33.161,22.353,266.594,129.454,170.901,167.197,2980.742,1.893,0.831,12.403,12.261,3534.773,8915.24,1253.909,-11.451,166.113,3707.174,9352.082,402.64,7.653,4.758
71,1425,17.862,24.035,33.18,22.353,266.623,129.708,170.901,167.197,2979.079,1.893,0.831,12.403,12.261,3532.537,8915.349,1253.939,-11.451,169.049,3708.144,9352.508,402.665,7.653,4.758
72,1445,17.862,24.05,33.18,22.353,266.623,129.708,170.901,171.601,2974.293,1.891,0.833,12.4,12.279,3532.537,8915.349,1253.939,-11.451,169.049,3705.798,9352.622,402.678,7.653,4.841
73,1465,17.862,24.058,33.18,22.353,266.623,129.708,168.196,170.751,2971.901,1.891,0.833,12.4,12.279,3534.243,8915.105,1253.951,-11.451,171.251,3705.798,9352.622,402.684,7.684,4.811
74,1485,17.862,24.069,33.18,22.353,266.623,129.708,168.66,170.751,2967.306,1.891,0.833,12.4,12.279,3530.499,8915.2,1253.989,-11.451,169.474,3707.588,9352.367,402.796,7.77,4.811
75,1504,17.862,24.069,33.18,22.353,266.623,129.708,168.66,170.751,2967.306,1.891,0.833,12.4,12.279,3530.499,8915.2,1253.989,-11.451,169.474,3707.588,9352.367,402.796,7.77,4.811
76,1526,17.862,24.083,33.18,22.353,266.623,129.708,168.66,168.279,2962.661,1.891,0.831,12.4,12.27,3532.361,8915.362,1253.998,-11.451,169.706,3703.66,9352.466,402.852,7.77,4.789
77,1546,17.872,24.09,33.19,22.353,266.656,130.567,169.046,171.988,2960.338,1.898,0.831,12.4,12.288,3533.972,8915.362,1254.021,-11.451,168.469,3705.614,9352.636,402.88,7.767,4.861
78,1565,17.872,24.105,33.19,22.353,266.656,130.567,171.441,171.988,2957.385,1.898,0.826,12.396,12.288,3534.455,8915.633,1254.047,-11.451,170.517,3707.303,9352.636,402.894,7.7,4.861
79,1586,17.872,24.116,33.19,22.353,266.656,130.567,171.441,170.906,2948.556,1.902,0.826,12.4,12.295,3533.476,8915.457,1254.074,-11.451,171.714,3707.81,9352.92,402.901,7.7,4.839
80,1605,17.872,24.122,33.19,22.353,266.656,130.567,171.441,167.893,2944.141,1.912,0.826,12.4,12.301,3534.303,8915.403,1254.084,-11.451,171.174,3706.783,9352.735,402.904,7.681,4.864
81,1626,17.872,24.128,33.19,22.353,266.656,130.567,168.892,167.893,2944.529,1.912,0.829,12.403,12.301,3532.627,8915.43,1254.091,-11.451,169.667,3707.651,9352.679,402.906,7.681,4.864
82,1644,17.913,24.147,33.23,22.353,266.719,131.432,168.892,172.142,2942.375,1.917,0.829,12.4,12.335,3532.77,8915.214,1254.094,-11.451,168.392,3705.893,9352.707,402.907,7.681,4.786
83,1664,17.913,24.156,33.23,22.353,266.719,131.432,166.574,168.742,2941.298,1.926,0.829,12.4,12.335,3531.258,8915.782,1254.1,-11.451,170.517,3706.043,9352.48,402.907,7.622,4.811
84,1686,17.913,24.161,33.23,22.353,266.719,131.432,166.883,168.742,2937.361,1.926,0.829,12.396,12.335,3531.31,8915.321,1254.101,-11.451,167.658,3704.457,9353.077,402.949,7.422,4.811
85,1706,17.913,24.171,33.23,22.353,266.719,131.432,166.883,169.67,2933.106,1.926,0.826,12.4,12.332,3531.31,8915.321,1254.101,-11.451,167.813,3704.511,9352.593,402.97,7.422,4.836
86,1724,17.933,24.176,33.25,22.353,266.797,131.512,169.973,170.597,2930.979,1.928,0.826,12.4,12.341,3532.324,8914.699,1254.097,-11.451,168.276,3704.511,9352.593,403.022,7.508,4.917
87,1744,17.933,24.183,33.25,22.353,266.797,131.512,162.093,170.597,2929.112,1.928,0.829,12.4,12.341,3534.429,8914.739,1254.096,-11.451,170.285,3705.575,9351.94,403.049,7.528,4.917
88,1764,17.933,24.194,33.25,22.353,266.797,131.512,162.093,168.356,2924.78,1.924,0.826,12.396,12.353,3530.761,8914.469,1254.084,-11.451,166.345,3707.783,9351.982,403.062,7.528,4.917
89,1784,17.933,24.199,33.25,22.353,266.797,131.512,170.128,168.511,2922.614,1.917,0.826,12.396,12.363,3532.807,8914.528,1254.077,-11.451,165.224,3703.935,9351.699,403.068,7.575,4.914
90,1804,17.933,24.202,33.25,22.353,266.797,131.512,170.128,168.511,2921.531,1.917,0.826,12.396,12.363,3528.861,8913.928,1254.063,-11.451,169.319,3706.082,9351.762,403.071,7.575,4.914
91,1824,17.943,24.215,33.26,22.353,266.827,131.58,169.664,168.511,2917.53,1.917,0.824,12.396,12.363,3528.861,8913.928,1254.063,-11.451,169.319,3701.942,9351.131,403.073,7.65,4.914
92,1844,17.943,24.233,33.26,22.353,266.827,131.58,169.664,168.82,2914.108,1.917,0.826,12.4,12.384,3531.909,8913.955,1254.047,-11.451,169.088,3701.942,9351.131,403.074,7.65,4.967
93,1864,17.943,24.242,33.26,22.353,266.827,131.58,170.205,168.433,2912.397,1.917,0.826,12.4,12.396,3531.731,8914.388,1254.041,-11.451,169.242,3705.14,9351.16,403.074,7.622,4.889
94,1887,17.943,24.246,33.26,22.353,266.827,131.58,169.51,168.433,2908.514,1.917,0.826,12.396,12.396,3531.619,8913.92,1254.01,-11.445,169.319,3704.953,9351.613,403.074,7.62,4.889
95,1905,17.943,24.246,33.26,22.353,266.827,131.58,169.51,168.433,2908.514,1.917,0.826,12.396,12.396,3531.619,8913.92,1254.01,-11.445,169.319,3704.953,9351.613,403.074,7.62,4.889
96,1924,17.943,24.256,33.26,22.353,266.827,131.58,169.51,167.893,2904.348,1.917,0.826,12.4,12.409,3531.619,8913.92,1254.01,-11.442,168.972,3704.794,9351.019,403.108,7.62,4.808
97,1947,17.983,24.261,33.336,22.353,266.841,132.384,168.583,170.133,2902.265,1.917,0.826,12.4,12.412,3531.799,8913.305,1253.954,-11.441,168.701,3704.773,9350.967,403.141,7.678,4.761
98,1964,17.983,24.268,33.336,22.353,266.841,132.384,164.024,170.133,2892.635,1.917,0.826,12.4,12.412,3530.426,8912.183,1253.916,-11.44,169.358,3704.952,9350.296,403.158,7.567,4.761
99,1987,17.983,24.282,33.336,22.353,266.841,132.384,164.024,170.056,2891.157,1.917,0.822,12.396,12.415,3530.596,8912.074,1253.886,-11.44,167.079,3703.506,9349.106,403.175,7.567,4.836
100,2006,17.983,24.29,33.336,22.353,266.841,132.384,168.583,167.506,2890.417,1.919,0.822,12.396,12.427,3529.468,8911.633,1253.853,-11.439,167.04,3703.682,9348.985,403.183,7.633,4.919
101,2025,18.003,24.29,33.374,22.341,266.858,133.62,168.892,167.506,2886.65,1.919,0.822,12.396,12.427,3533.006,8911.384,1253.825,-11.439,168.044,3702.498,9348.519,403.187,7.595,4.919
102,2045,18.003,24.293,33.374,22.341,266.858,133.62,168.892,168.047,2882.479,1.919,0.819,12.4,12.483,3529.609,8911.316,1253.807,-11.439,168.199,3706.208,9348.257,403.189,7.595,4.839
103,2065,18.003,24.295,33.374,22.341,266.858,133.62,167.269,168.356,2880.395,1.917,0.822,12.4,12.48,3527.49,8910.667,1253.733,-11.451,168.469,3702.644,9348.185,403.174,7.522,4.886
104,2087,18.003,24.292,33.374,22.341,266.858,133.62,166.033,168.356,2877.375,1.917,0.822,12.4,12.48,3527.49,8910.667,1253.733,-11.457,167.813,3700.504,9347.711,403.166,7.736,4.886
105,2106,18.003,24.291,33.374,22.341,266.858,133.62,166.033,167.352,2874.197,1.912,0.822,12.4,12.498,3525.596,8910.208,1253.63,-11.459,167.195,3700.545,9347.814,403.162,7.736,4.872
106,2124,18.013,24.29,33.393,22.335,266.857,133.941,168.119,163.025,2872.608,1.905,0.822,12.4,12.526,3524.375,8909.45,1253.587,-11.461,166.692,3698.578,9347.384,403.16,7.753,4.811
107,2144,18.013,24.294,33.393,22.335,266.857,133.941,167.965,163.025,2868.786,1.905,0.822,12.396,12.526,3527.132,8909.681,1253.541,-11.462,165.572,3697.307,9346.615,403.159,7.661,4.811
108,2164,18.013,24.295,33.393,22.335,266.857,133.941,167.965,168.588,2868.357,1.902,0.824,12.4,12.542,3524.61,8909.153,1253.491,-11.462,165.495,3700.205,9346.87,403.159,7.661,4.872
109,2185,18.013,24.296,33.393,22.335,266.857,133.941,167.965,168.588,2868.143,1.902,0.824,12.4,12.542,3528.6,8907.774,1253.435,-11.462,168.276,3697.561,9346.323,403.158,7.661,4.872
110,2204,18.013,24.296,33.393,22.335,266.857,133.941,167.965,168.588,2868.143,1.902,0.824,12.4,12.542,3528.6,8907.774,1253.435,-11.462,168.276,3697.561,9346.323,403.158,7.661,4.872
111,2225,18.013,24.297,33.393,22.335,266.857,133.941,165.956,168.511,2868.036,1.902,0.824,12.4,12.536,3528.6,8907.774,1253.435,-11.462,168.276,3701.749,9344.88,403.158,7.458,4.786
112,2245,18.054,24.297,33.438,22.332,266.847,133.731,165.956,168.511,2867.983,1.902,0.824,12.4,12.536,3526.312,8906.937,1253.383,-11.462,167.233,3701.75,9344.882,403.158,7.458,4.786
113,2267,18.054,24.301,33.438,22.332,266.847,133.731,166.265,168.356,2866.597,1.902,0.824,12.4,12.548,3526.312,8906.937,1253.383,-11.462,167.233,3699.349,9344.003,403.158,7.653,4.942
114,2289,18.054,24.315,33.438,22.332,266.847,133.731,164.642,168.356,2866.274,1.902,0.822,12.4,12.548,3523.546,8905.883,1253.224,-11.462,167.311,3699.35,9344.004,403.1,7.595,4.942
115,2305,18.054,24.325,33.438,22.332,266.847,133.731,164.642,171.601,2861.17,1.902,0.817,12.4,12.536,3521.281,8905.199,1253.107,-11.462,166.499,3696.448,9342.898,403.071,7.595,4.942
116,2324,18.074,24.33,33.461,22.331,266.805,133.644,163.87,167.97,2858.618,1.9,0.817,12.4,12.523,3522.924,8904.424,1253.001,-11.462,168.122,3694.073,9342.182,402.989,7.592,4.992
117,2344,18.074,24.337,33.461,22.331,266.805,133.644,163.87,167.97,2865.127,1.9,0.815,12.424,12.523,3523.167,8904.073,1252.967,-11.457,165.92,3695.795,9341.368,402.948,7.597,4.992
118,2364,18.074,24.348,33.461,22.331,266.805,133.644,167.347,167.97,2868.567,1.891,0.815,12.396,12.542,3520.317,8902.79,1252.86,-11.454,165.92,3696.009,9340.896,402.928,7.597,4.983
119,2384,18.074,24.353,33.461,22.331,266.805,133.644,167.347,167.97,2870.287,1.891,0.815,12.396,12.542,3520.755,8902.196,1252.789,-11.452,167.658,3692.999,9339.499,402.918,7.597,4.983
120,2404,18.074,24.356,33.461,22.331,266.805,133.644,166.419,167.584,2871.147,1.884,0.815,12.396,12.539,3520.755,8902.196,1252.789,-11.452,167.658,3693.448,9338.85,402.913,7.736,4.958
121,2424,18.084,24.361,33.472,22.33,266.71,133.277,166.419,167.584,2873.122,1.884,0.815,12.4,12.539,3520.938,8902.782,1252.733,-11.451,167.001,3693.443,9338.837,402.91,7.62,4.958
122,2444,18.084,24.38,33.472,22.33,266.71,133.277,166.574,166.579,2876.395,1.881,0.819,12.421,12.532,3520.164,8901.697,1252.648,-11.451,167.001,3693.633,9339.445,402.909,7.62,4.994
123,2464,18.084,24.389,33.472,22.33,266.71,133.277,167.347,168.124,2878.032,1.881,0.819,12.421,12.545,3518.491,8900.825,1252.517,-11.451,166.577,3692.82,9338.304,402.908,7.597,5.044
124,2484,18.084,24.401,33.472,22.33,266.71,133.277,167.347,168.124,2880.519,1.881,0.815,12.418,12.545,3518.491,8900.825,1252.517,-11.451,167.735,3691.063,9337.387,402.908,7.597,5.044
125,2504,18.084,24.401,33.472,22.33,266.71,133.277,167.347,168.124,2880.519,1.881,0.815,12.418,12.545,3518.491,8900.825,1252.517,-11.451,167.735,3691.063,9337.387,402.908,7.597,5.044
126,2525,18.084,24.415,33.472,22.33,266.71,133.277,170.051,163.025,2881.638,1.881,0.815,12.421,12.542,3520.067,8899.813,1252.379,-11.451,167.735,3691.063,9337.387,402.833,7.508,5.044
127,2544,18.124,24.422,33.537,22.33,266.616,132.333,167.192,163.025,2882.198,1.884,0.815,12.421,12.536,3520.067,8899.813,1252.379,-11.451,166.538,3692.717,9336.324,402.72,7.653,5.044
128,2565,18.124,24.429,33.537,22.33,266.616,132.333,167.192,168.047,2888.163,1.884,0.812,12.418,12.536,3516.756,8899.16,1252.228,-11.451,165.109,3692.717,9336.324,402.664,7.653,5.044
