,TimeStamp,30 Температура масла в магистрали общей откачки (поз. Тм),31 Температура слива масла из опоры турбины (поз. Т606),32 Температура масла на входе в двигатель за фильтром (поз. Т607),33 Температура топливного газа перед СК (перед расходомерным устройством) (поз. Ттг),34 Давление масла в нагнетающей магистрали двигателя (после фильтра) (поз. Pм),35 Давление масла в магистрали общей откачки (поз. Р615),36 Давление за ОК Pk1,37 Давление за ОК Pk2,38 Давление топливного газа перед дозаторами (поз. Pтг1.1),39 Вибрация промежуточного корпуса газогенератора (гориз.) (поз. В1),40 Вибрация корпуса силовой турбины (гориз.) (поз. В2),"41 Положение дозатора газа 8402 (или ДУС-6,5 МП) ( поз. А ДГ)",42 Контроль управления дозатором газа ДГ ,43 Частота вращения РНД (Расчетная),44 Частота вращения РВД (Расчетная),45 Частота вращения РСТ (Расчетная),46 Температура воздуха на входе в газогенератор (Расчетная),47 Давление воздуха за компрессором (Расчетная),48 Частота вращения РНД приведенная,49 Частота вращения РВД приведенная,50 Температура газов за ТНД максимальная (Расчетная),51 Положение лопаток НА КВД. (поз. A2),52 Положение КПВ (поз. A3)
16,325,18.088,21.444,25.819,13.357,292.384,107.857,167.11,168.505,2971.634,2.107,1.933,11.049,11.064,3492.302,8772.495,1212.844,-22.318,167.808,3742.114,9400.008,376.742,7.656,5.1
17,345,18.103,21.447,25.839,13.357,292.395,107.356,167.11,168.505,2974.902,2.107,1.933,11.049,11.064,3492.302,8772.495,1212.844,-22.318,167.808,3742.113,9400.006,376.742,7.656,5.1
18,365,18.103,21.448,25.839,13.357,292.395,107.356,167.11,168.505,2976.537,2.107,1.933,11.049,11.064,3492.302,8772.495,1212.844,-22.318,167.808,3742.112,9400.005,376.741,7.656,5.1
19,385,18.103,21.449,25.839,13.357,292.395,107.356,167.11,169.51,2962.45,2.1,1.926,11.052,11.107,3492.302,8772.495,1212.844,-22.318,167.808,3742.112,9400.004,376.742,7.734,5.075
20,405,18.103,21.449,25.839,13.357,292.395,107.356,167.11,169.51,2955.407,2.1,1.926,11.052,11.107,3492.861,8772.823,1212.867,-22.324,168.31,3742.112,9400.004,376.708,7.734,5.075
21,425,18.103,21.449,25.839,13.357,292.395,107.356,167.11,169.51,2951.886,2.1,1.926,11.052,11.107,3492.861,8772.823,1212.867,-22.327,168.31,3742.753,9400.465,376.691,7.734,5.075
22,446,18.11,21.449,25.908,13.357,292.392,107.318,167.11,169.51,2950.125,2.1,1.926,11.052,11.107,3492.861,8772.823,1212.867,-22.328,168.31,3742.775,9400.52,376.683,7.734,5.075
23,465,18.11,21.449,25.908,13.357,292.392,107.318,167.11,169.51,2949.245,2.1,1.926,11.052,11.107,3492.861,8772.823,1212.867,-22.329,168.31,3742.786,9400.547,376.679,7.734,5.075
24,485,18.11,21.455,25.908,13.357,292.392,107.318,165.564,169.973,2957.524,2.091,1.928,11.049,11.123,3492.861,8772.823,1212.867,-22.329,168.31,3742.792,9400.561,376.677,7.578,5.042
25,505,18.11,21.459,25.908,13.357,292.392,107.318,165.564,169.973,2961.664,2.091,1.928,11.049,11.123,3493.65,8773.479,1212.938,-22.33,167.769,3742.794,9400.567,376.65,7.578,5.042
26,525,18.11,21.46,25.908,13.357,292.392,107.318,165.564,169.973,2963.733,2.091,1.928,11.049,11.123,3493.65,8773.479,1212.938,-22.33,167.769,3743.641,9401.272,376.637,7.578,5.042
27,546,18.149,21.461,25.942,13.357,292.372,107.735,165.564,169.973,2964.768,2.091,1.928,11.049,11.123,3493.65,8773.479,1212.938,-22.33,167.769,3743.642,9401.274,376.631,7.578,5.042
28,565,18.149,21.461,25.942,13.357,292.372,107.735,165.564,169.973,2965.286,2.091,1.928,11.049,11.123,3493.65,8773.479,1212.938,-22.33,167.769,3743.643,9401.275,376.627,7.578,5.042
29,585,18.149,21.471,25.942,13.357,292.372,107.735,166.105,171.21,3033.382,2.091,1.924,11.049,11.107,3493.65,8773.479,1212.938,-22.33,167.769,3743.643,9401.275,376.626,7.736,5.072
30,605,18.149,21.476,25.942,13.357,292.372,107.735,166.105,171.21,3067.43,2.091,1.924,11.049,11.107,3492.488,8774.082,1213.028,-22.33,168.657,3743.643,9401.275,376.616,7.736,5.072
31,625,18.149,21.478,25.942,13.357,292.372,107.735,166.105,171.21,3084.454,2.091,1.924,11.049,11.107,3492.488,8774.082,1213.028,-22.33,168.657,3742.397,9401.922,376.612,7.736,5.072
32,645,18.169,21.479,25.959,13.357,292.343,107.934,166.105,171.21,3092.966,2.091,1.924,11.049,11.107,3492.488,8774.082,1213.028,-22.33,168.657,3742.397,9401.922,376.61,7.736,5.072
33,668,18.169,21.48,25.959,13.357,292.343,107.934,166.105,171.21,3097.222,2.091,1.924,11.049,11.107,3492.488,8774.082,1213.028,-22.33,168.657,3742.397,9401.922,376.608,7.736,5.072
34,685,18.169,21.509,25.959,13.357,292.343,107.934,165.487,168.119,3037.202,2.095,1.928,11.049,11.086,3492.488,8774.082,1213.028,-22.33,168.657,3742.397,9401.922,376.608,7.873,5.022
35,705,18.169,21.523,25.959,13.357,292.343,107.934,165.487,168.119,3007.191,2.095,1.928,11.049,11.086,3493.83,8774.554,1213.124,-22.33,166.803,3742.397,9401.922,376.599,7.873,5.022
36,725,18.169,21.53,25.959,13.357,292.343,107.934,165.487,168.119,2992.187,2.095,1.928,11.049,11.086,3493.83,8774.554,1213.124,-22.33,166.803,3743.836,9402.428,376.595,7.873,5.022
37,746,18.178,21.534,26.038,13.357,292.31,107.83,165.487,168.119,2984.684,2.095,1.928,11.049,11.086,3493.83,8774.554,1213.124,-22.33,166.803,3743.836,9402.428,376.593,7.873,5.022
38,767,18.178,21.535,26.038,13.357,292.31,107.83,165.487,168.119,2980.933,2.095,1.928,11.049,11.086,3493.83,8774.554,1213.124,-22.33,166.803,3743.836,9402.428,376.592,7.873,5.022
39,785,18.178,21.536,26.038,13.357,292.31,107.83,165.487,168.119,2979.057,2.095,1.928,11.049,11.086,3493.83,8774.554,1213.124,-22.33,166.803,3743.836,9402.428,376.591,7.873,5.022
40,805,18.178,21.556,26.038,13.357,292.31,107.83,166.646,168.274,2978.923,2.098,1.921,11.049,11.015,3493.83,8774.554,1213.124,-22.33,166.803,3743.836,9402.428,376.591,7.764,5.072
41,825,18.178,21.565,26.038,13.357,292.31,107.83,166.646,168.274,2978.856,2.098,1.921,11.049,11.015,3494.45,8776.416,1213.254,-22.33,167.46,3743.836,9402.428,376.591,7.764,5.072
42,845,18.207,21.57,26.078,13.357,292.275,107.778,166.646,168.274,2978.823,2.098,1.921,11.049,11.015,3494.45,8776.416,1213.254,-22.33,167.46,3744.5,9404.423,376.591,7.764,5.072
43,867,18.207,21.572,26.078,13.357,292.275,107.778,166.646,168.274,2978.806,2.098,1.921,11.049,11.015,3494.45,8776.416,1213.254,-22.33,167.46,3744.5,9404.423,376.591,7.764,5.072
44,885,18.207,21.574,26.078,13.357,292.275,107.778,166.646,168.274,2978.798,2.098,1.921,11.049,11.015,3494.45,8776.416,1213.254,-22.33,167.46,3744.5,9404.423,376.591,7.764,5.072
45,905,18.207,21.587,26.078,13.357,292.275,107.778,165.023,167.501,2975.331,2.093,1.917,10.978,11.002,3494.45,8776.416,1213.254,-22.33,167.46,3744.5,9404.423,376.591,7.711,5.078
46,925,18.207,21.593,26.078,13.357,292.275,107.778,165.023,167.501,2973.597,2.093,1.917,10.978,11.002,3494.451,8776.873,1213.37,-22.33,166.262,3744.5,9404.423,376.59,7.711,5.078
47,945,18.221,21.597,26.098,13.357,292.23,107.761,165.023,167.501,2972.73,2.093,1.917,10.978,11.002,3494.451,8776.873,1213.37,-22.33,166.262,3744.5,9404.913,376.591,7.711,5.078
48,966,18.221,21.598,26.098,13.357,292.23,107.761,165.023,167.501,2972.297,2.093,1.917,10.978,11.002,3494.451,8776.873,1213.37,-22.33,166.262,3744.5,9404.913,376.591,7.711,5.078
49,985,18.221,21.599,26.098,13.357,292.23,107.761,165.023,167.501,2972.08,2.093,1.917,10.978,11.002,3494.451,8776.873,1213.37,-22.33,166.262,3744.5,9404.913,376.591,7.711,5.078
50,1005,18.221,21.618,26.098,13.357,292.23,107.761,166.801,170.051,2946.494,2.1,1.917,10.978,10.968,3494.451,8776.873,1213.37,-22.33,166.262,3744.5,9404.913,376.591,7.739,4.972
51,1025,18.221,21.628,26.098,13.357,292.23,107.761,166.801,170.051,2933.701,2.1,1.917,10.978,10.968,3494.719,8776.6,1213.48,-22.33,168.426,3744.5,9404.913,376.607,7.739,4.972
52,1045,18.228,21.633,26.178,13.357,292.161,107.391,166.801,170.051,2927.304,2.1,1.917,10.978,10.968,3494.719,8776.6,1213.48,-22.33,168.426,3744.788,9404.62,376.616,7.739,4.972
53,1067,18.228,21.635,26.178,13.357,292.161,107.391,166.801,170.051,2924.106,2.1,1.917,10.978,10.968,3494.719,8776.6,1213.48,-22.33,168.426,3744.788,9404.62,376.62,7.739,4.972
54,1085,18.228,21.636,26.178,13.357,292.161,107.391,166.801,170.051,2922.507,2.1,1.917,10.978,10.968,3494.719,8776.6,1213.48,-22.33,168.426,3744.788,9404.62,376.622,7.739,4.972
55,1105,18.228,21.659,26.178,13.357,292.161,107.391,166.337,167.965,2910.329,2.098,1.919,10.954,10.956,3494.719,8776.6,1213.48,-22.33,168.426,3744.788,9404.62,376.623,7.628,5.019
56,1125,18.228,21.67,26.178,13.357,292.161,107.391,166.337,167.965,2904.24,2.098,1.919,10.954,10.956,3494.554,8777.558,1213.52,-22.33,167.151,3744.788,9404.62,376.64,7.628,5.019
57,1145,18.232,21.676,26.219,13.357,292.071,107.067,166.337,167.965,2901.196,2.098,1.919,10.954,10.956,3494.554,8777.558,1213.52,-22.33,167.151,3744.611,9405.646,376.649,7.628,5.019
58,1168,18.232,21.679,26.219,13.357,292.071,107.067,166.337,167.965,2899.673,2.098,1.919,10.954,10.956,3494.554,8777.558,1213.52,-22.33,167.151,3744.611,9405.646,376.654,7.628,5.019
59,1185,18.232,21.68,26.219,13.357,292.071,107.067,166.337,167.965,2898.912,2.098,1.919,10.954,10.956,3494.554,8777.558,1213.52,-22.33,167.151,3744.611,9405.646,376.656,7.628,5.019
60,1205,18.232,21.697,26.219,13.357,292.071,107.067,165.796,168.274,2935.573,2.093,1.919,10.954,11.015,3494.554,8777.558,1213.52,-22.33,167.151,3744.611,9405.646,376.657,7.631,4.969
61,1225,18.232,21.705,26.219,13.357,292.071,107.067,165.796,168.274,2953.904,2.093,1.919,10.954,11.015,3494.656,8775.601,1213.526,-22.33,167.035,3744.611,9405.646,376.724,7.631,4.969
62,1245,18.281,21.709,26.239,13.357,292.007,106.998,165.796,168.274,2963.069,2.093,1.919,10.954,11.015,3494.656,8775.601,1213.526,-22.33,167.035,3744.72,9403.549,376.758,7.631,4.969
63,1266,18.281,21.711,26.239,13.357,292.007,106.998,165.796,168.274,2967.651,2.093,1.919,10.954,11.015,3494.656,8775.601,1213.526,-22.33,167.035,3744.72,9403.549,376.775,7.631,4.969
64,1288,18.281,21.712,26.239,13.357,292.007,106.998,165.796,168.274,2969.943,2.093,1.919,10.954,11.015,3494.656,8775.601,1213.526,-22.33,167.035,3744.72,9403.549,376.783,7.631,4.969
65,1305,18.281,21.731,26.239,13.357,292.007,106.998,167.574,169.046,2960.02,2.098,1.917,10.95,11.067,3494.656,8775.601,1213.526,-22.33,167.035,3744.72,9403.549,376.787,7.764,4.997
66,1325,18.281,21.741,26.239,13.357,292.007,106.998,167.574,169.046,2955.058,2.098,1.917,10.95,11.067,3494.73,8776.442,1213.544,-22.33,168.31,3744.72,9403.549,376.798,7.764,4.997
67,1345,18.305,21.746,26.319,13.357,291.975,107.705,167.574,169.046,2952.577,2.098,1.917,10.95,11.067,3494.73,8776.442,1213.544,-22.33,168.31,3744.8,9404.451,376.803,7.764,4.997
68,1367,18.305,21.748,26.319,13.357,291.975,107.705,167.574,169.046,2951.336,2.098,1.917,10.95,11.067,3494.73,8776.442,1213.544,-22.33,168.31,3744.8,9404.451,376.806,7.764,4.997
69,1385,18.305,21.749,26.319,13.357,291.975,107.705,167.574,169.046,2950.716,2.098,1.917,10.95,11.067,3494.73,8776.442,1213.544,-22.33,168.31,3744.8,9404.451,376.807,7.764,4.997
70,1405,18.305,21.775,26.319,13.357,291.975,107.705,163.709,170.978,2956.219,2.105,1.912,10.954,11.061,3494.73,8776.442,1213.544,-22.33,168.31,3744.8,9404.451,376.808,7.736,5.072
71,1425,18.305,21.788,26.319,13.357,291.975,107.705,163.709,170.978,2958.97,2.105,1.912,10.954,11.061,3494.224,8776.771,1213.582,-22.341,167.343,3744.8,9404.451,376.808,7.736,5.072
72,1445,18.317,21.794,26.36,13.357,291.932,108.735,163.709,170.978,2960.346,2.105,1.912,10.954,11.061,3494.224,8776.771,1213.582,-22.347,167.343,3744.344,9405.021,376.808,7.736,5.072
73,1466,18.317,21.798,26.36,13.357,291.932,108.735,163.709,170.978,2961.034,2.105,1.912,10.954,11.061,3494.224,8776.771,1213.582,-22.35,167.343,3744.388,9405.132,376.808,7.736,5.072
74,1485,18.317,21.799,26.36,13.357,291.932,108.735,163.709,170.978,2961.378,2.105,1.912,10.954,11.061,3494.224,8776.771,1213.582,-22.352,167.343,3744.409,9405.185,376.808,7.736,5.072
75,1505,18.317,21.797,26.36,13.357,291.932,108.735,167.187,168.428,2948.687,2.105,1.909,10.957,11.049,3494.224,8776.771,1213.582,-22.352,167.343,3744.42,9405.212,376.808,7.522,5.022
76,1526,18.317,21.796,26.36,13.357,291.932,108.735,167.187,168.428,2942.342,2.105,1.909,10.957,11.049,3494.148,8777.426,1213.661,-22.364,167.808,3744.426,9405.226,376.808,7.522,5.022
77,1545,18.347,21.795,26.38,13.345,291.891,109.324,167.187,168.428,2939.169,2.105,1.909,10.957,11.049,3494.148,8777.426,1213.661,-22.37,167.808,3744.434,9406.154,376.808,7.522,5.022
78,1567,18.347,21.795,26.38,13.345,291.891,109.324,167.187,168.428,2937.583,2.105,1.909,10.957,11.049,3494.148,8777.426,1213.661,-22.373,167.808,3744.479,9406.266,376.808,7.522,5.022
79,1585,18.347,21.795,26.38,13.345,291.891,109.324,167.187,168.428,2936.79,2.105,1.909,10.957,11.049,3494.148,8777.426,1213.661,-22.375,167.808,3744.501,9406.322,376.808,7.522,5.022
80,1605,18.347,21.798,26.38,13.345,291.891,109.324,166.26,167.656,2937.073,2.11,1.917,10.954,11.027,3494.148,8777.426,1213.661,-22.376,167.808,3744.512,9406.351,376.808,7.383,4.969
81,1625,18.347,21.799,26.38,13.345,291.891,109.324,166.26,167.656,2937.215,2.11,1.917,10.954,11.027,3494.114,8776.545,1213.724,-22.376,166.958,3744.518,9406.364,376.825,7.383,4.969
82,1645,18.362,21.8,26.39,13.339,291.852,109.174,166.26,167.656,2937.286,2.11,1.917,10.954,11.027,3494.114,8776.545,1213.724,-22.376,166.958,3744.484,9405.428,376.834,7.383,4.969
83,1666,18.362,21.8,26.39,13.339,291.852,109.174,166.26,167.656,2937.322,2.11,1.917,10.954,11.027,3494.114,8776.545,1213.724,-22.376,166.958,3744.485,9405.431,376.838,7.383,4.969
84,1685,18.362,21.801,26.39,13.339,291.852,109.174,166.26,167.656,2937.339,2.11,1.917,10.954,11.027,3494.114,8776.545,1213.724,-22.376,166.958,3744.486,9405.433,376.84,7.383,4.969
85,1708,18.362,21.813,26.39,13.339,291.852,109.174,165.564,167.269,2919.724,2.11,1.914,10.954,11.018,3494.114,8776.545,1213.724,-22.376,166.958,3744.487,9405.434,376.841,7.736,5.022
86,1725,18.362,21.82,26.39,13.339,291.852,109.174,165.564,167.269,2910.917,2.11,1.914,10.954,11.018,3493.579,8777.203,1213.756,-22.382,166.417,3744.487,9405.434,376.824,7.736,5.022
87,1745,18.369,21.823,26.454,13.336,291.842,108.579,165.564,167.269,2906.513,2.11,1.914,10.954,11.018,3493.579,8777.203,1213.756,-22.385,166.417,3743.957,9406.249,376.816,7.736,5.022
88,1765,18.369,21.824,26.454,13.336,291.842,108.579,165.564,167.269,2904.311,2.11,1.914,10.954,11.018,3493.579,8777.203,1213.756,-22.387,166.417,3743.979,9406.304,376.812,7.736,5.022
89,1786,18.369,21.825,26.454,13.336,291.842,108.579,165.564,167.269,2903.209,2.11,1.914,10.954,11.018,3493.579,8777.203,1213.756,-22.387,166.417,3743.99,9406.331,376.81,7.736,5.022
90,1805,18.369,21.826,26.454,13.336,291.842,108.579,165.564,167.269,2902.659,2.11,1.914,10.954,11.018,3493.579,8777.203,1213.756,-22.388,166.417,3743.995,9406.344,376.809,7.736,5.022
91,1825,18.369,21.838,26.454,13.336,291.842,108.579,165.719,169.355,2892.304,2.11,1.907,10.954,11.021,3493.579,8777.203,1213.756,-22.388,166.417,3743.998,9406.352,376.808,7.656,5.075
92,1845,18.396,21.845,26.486,13.347,291.819,107.179,165.719,169.355,2887.127,2.11,1.907,10.954,11.021,3493.284,8776.901,1213.758,-22.388,167.537,3743.999,9406.354,376.808,7.656,5.075
93,1867,18.396,21.848,26.486,13.347,291.819,107.179,165.719,169.355,2884.538,2.11,1.907,10.954,11.021,3493.284,8776.901,1213.758,-22.388,167.537,3743.684,9406.033,376.808,7.656,5.075
94,1885,18.396,21.849,26.486,13.347,291.819,107.179,165.719,169.355,2883.244,2.11,1.907,10.954,11.021,3493.284,8776.901,1213.758,-22.388,167.537,3743.684,9406.033,376.808,7.656,5.075
95,1905,18.396,21.85,26.486,13.347,291.819,107.179,165.719,169.355,2882.596,2.11,1.907,10.954,11.021,3493.284,8776.901,1213.758,-22.388,167.537,3743.684,9406.034,376.808,7.656,5.075
96,1925,18.396,21.873,26.486,13.347,291.819,107.179,165.95,166.651,2924.571,2.114,1.914,10.95,11.015,3493.284,8776.901,1213.758,-22.388,167.537,3743.684,9406.034,376.808,7.714,4.914
97,1945,18.41,21.884,26.502,13.352,291.788,105.691,165.95,166.651,2945.558,2.114,1.914,10.95,11.015,3492.287,8775.797,1213.716,-22.394,166.301,3743.684,9406.034,376.816,7.714,4.914
98,1965,18.41,21.889,26.502,13.352,291.788,105.691,165.95,166.651,2956.052,2.114,1.914,10.95,11.015,3492.287,8775.797,1213.716,-22.397,166.301,3742.66,9404.96,376.821,7.714,4.914
99,1987,18.41,21.892,26.502,13.352,291.788,105.691,165.95,166.651,2961.298,2.114,1.914,10.95,11.015,3492.287,8775.797,1213.716,-22.398,166.301,3742.682,9405.015,376.823,7.714,4.914
100,2005,18.41,21.894,26.502,13.352,291.788,105.691,165.95,166.651,2963.922,2.114,1.914,10.95,11.015,3492.287,8775.797,1213.716,-22.399,166.301,3742.693,9405.042,376.824,7.714,4.914
101,2026,18.41,21.907,26.502,13.352,291.788,105.691,165.796,166.11,2973.149,2.117,1.914,10.95,11.039,3492.287,8775.797,1213.716,-22.399,166.301,3742.698,9405.056,376.824,7.686,4.969
102,2045,18.417,21.914,26.568,13.354,291.773,105.188,165.796,166.11,2977.762,2.117,1.914,10.95,11.039,3492.142,8775.404,1213.634,-22.405,165.953,3742.7,9405.063,376.824,7.686,4.969
103,2065,18.417,21.917,26.568,13.354,291.773,105.188,165.796,166.11,2980.069,2.117,1.914,10.95,11.039,3492.142,8775.404,1213.634,-22.408,165.953,3742.59,9404.754,376.824,7.686,4.969
104,2085,18.417,21.918,26.568,13.354,291.773,105.188,165.796,166.11,2981.223,2.117,1.914,10.95,11.039,3492.142,8775.404,1213.634,-22.41,165.953,3742.612,9404.811,376.825,7.686,4.969
105,2105,18.417,21.919,26.568,13.354,291.773,105.188,165.796,166.11,2981.799,2.117,1.914,10.95,11.039,3492.142,8775.404,1213.634,-22.41,165.953,3742.623,9404.839,376.825,7.686,4.969
106,2125,18.417,21.942,26.568,13.354,291.773,105.188,165.1,167.347,2966.442,2.121,1.919,10.954,11.024,3492.142,8775.404,1213.634,-22.411,165.953,3742.629,9404.853,376.825,7.544,4.994
107,2148,18.444,21.953,26.602,13.356,291.756,105.975,165.1,167.347,2958.764,2.121,1.919,10.954,11.024,3491.833,8774.774,1213.549,-22.423,166.223,3742.632,9404.86,376.825,7.544,4.994
108,2165,18.444,21.958,26.602,13.356,291.756,105.975,165.1,167.347,2954.924,2.121,1.919,10.954,11.024,3491.833,8774.774,1213.549,-22.429,166.223,3742.389,9404.406,376.825,7.544,4.994
109,2186,18.444,21.961,26.602,13.356,291.756,105.975,165.1,167.347,2953.005,2.121,1.919,10.954,11.024,3491.833,8774.774,1213.549,-22.432,166.223,3742.433,9404.518,376.825,7.544,4.994
110,2205,18.444,21.963,26.602,13.356,291.756,105.975,165.1,167.347,2952.045,2.121,1.919,10.954,11.024,3491.833,8774.774,1213.549,-22.433,166.223,3742.455,9404.573,376.825,7.544,4.994
111,2225,18.457,21.982,26.619,13.356,291.692,107.008,165.95,168.428,2911.679,2.121,1.919,10.957,10.981,3491.833,8774.774,1213.549,-22.434,166.223,3742.466,9404.601,376.825,7.631,4.994
112,2245,18.457,21.992,26.619,13.356,291.692,107.008,165.95,168.428,2891.496,2.121,1.919,10.957,10.981,3492.766,8774.761,1213.484,-22.434,167.189,3742.471,9404.614,376.758,7.631,4.994
113,2265,18.457,21.997,26.619,13.356,291.692,107.008,165.95,168.428,2881.404,2.121,1.919,10.957,10.981,3492.766,8774.761,1213.484,-22.434,167.189,3743.474,9404.606,376.724,7.631,4.994
114,2286,18.457,21.999,26.619,13.356,291.692,107.008,165.95,168.428,2876.358,2.121,1.919,10.957,10.981,3492.766,8774.761,1213.484,-22.434,167.189,3743.475,9404.609,376.708,7.631,4.994
115,2308,18.457,22.001,26.619,13.356,291.692,107.008,165.95,168.428,2873.835,2.121,1.919,10.957,10.981,3492.766,8774.761,1213.484,-22.434,167.189,3743.476,9404.611,376.699,7.631,4.994
116,2325,18.464,22.017,26.698,13.357,291.595,108.284,164.405,165.647,2926.683,2.121,1.912,10.954,10.965,3492.766,8774.761,1213.484,-22.434,167.189,3743.476,9404.612,376.695,7.653,4.994
117,2345,18.464,22.025,26.698,13.357,291.595,108.284,164.405,165.647,2953.107,2.121,1.912,10.954,10.965,3490.969,8774.315,1213.429,-22.44,165.026,3743.476,9404.612,376.651,7.653,4.994
118,2365,18.464,22.029,26.698,13.357,291.595,108.284,164.405,165.647,2966.319,2.121,1.912,10.954,10.965,3490.969,8774.315,1213.429,-22.443,165.026,3741.594,9404.245,376.629,7.653,4.994
119,2386,18.464,22.031,26.698,13.357,291.595,108.284,164.405,165.647,2972.925,2.121,1.912,10.954,10.965,3490.969,8774.315,1213.429,-22.445,165.026,3741.615,9404.3,376.618,7.653,4.994
120,2405,18.464,22.032,26.698,13.357,291.595,108.284,164.405,165.647,2976.228,2.121,1.912,10.954,10.965,3490.969,8774.315,1213.429,-22.445,165.026,3741.626,9404.327,376.612,7.653,4.994
121,2425,18.514,22.048,26.737,13.345,291.473,109.711,164.405,170.282,2973.304,2.121,1.907,10.954,11.018,3490.969,8774.315,1213.429,-22.446,165.026,3741.632,9404.341,376.609,7.87,4.889
122,2445,18.514,22.056,26.737,13.345,291.473,109.711,164.405,170.282,2971.841,2.121,1.907,10.954,11.018,3487.687,8774.305,1213.364,-22.452,167.344,3741.635,9404.348,376.558,7.87,4.889
123,2469,18.514,22.06,26.737,13.345,291.473,109.711,164.405,170.282,2971.11,2.121,1.907,10.954,11.018,3487.687,8774.305,1213.364,-22.455,167.344,3738.162,9404.448,376.532,7.87,4.889
